YEAR,MONTH,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2018,1,10,กรุงเทพมหานคร,54.29999924,257.230011,155.7650051
2018,1,11,สมุทรปราการ,76.25,256.1000061,166.1750031
2018,1,12,นนทบุรี,38.36000061,161.4700012,99.91500091
2018,1,13,ปทุมธานี,51.43999863,116.5,83.96999932
2018,1,14,พระนครศรีอยุธยา,8.850000381,88.58999634,48.71999836
2018,1,15,อ่างทอง,4.389999866,33.93999863,19.16499925
2018,1,16,ลพบุรี,6.519999981,99.48999786,53.00499892
2018,1,17,สิงห์บุรี,4,35.63999939,19.8199997
2018,1,18,ชัยนาท,0.100000001,12.82999992,6.464999961
2018,1,19,สระบุรี,23.85000038,73.06999969,48.46000004
2018,1,20,ชลบุรี,10.23999977,178.9400024,94.59000109
2018,1,21,ระยอง,5.630000114,96.41999817,51.02499914
2018,1,22,จันทบุรี,60.79999924,127.6100006,94.20499992
2018,1,23,ตราด,66.40000153,99.80000305,83.10000229
2018,1,24,ฉะเชิงเทรา,53.97000122,196.3699951,125.1699982
2018,1,25,ปราจีนบุรี,69.56999969,174.2599945,121.9149971
2018,1,26,นครนายก,53.22000122,115.5699997,84.39500046
2018,1,27,สระแก้ว,34.22000122,133.3200073,83.77000426
2018,1,30,นครราชสีมา,0.230000004,103.0699997,51.64999985
2018,1,31,บุรีรัมย์,0,65.27999878,32.63999939
2018,1,32,สุรินทร์,1,17.27000046,9.13500023
2018,1,33,ศรีสะเกษ,0.50999999,8.489999771,4.499999881
2018,1,34,อุบลราชธานี,0,3.420000076,1.710000038
2018,1,35,ยโสธร,0.07,2.390000105,1.230000053
2018,1,36,ชัยภูมิ,0,71.18000031,35.59000016
2018,1,37,อำนาจเจริญ,0.100000001,2.670000076,1.385000039
2018,1,38,บึงกาฬ,5.869999886,11.21000004,8.539999963
2018,1,39,หนองบัวลำภู,0.200000003,19.98999977,10.09499989
2018,1,40,ขอนแก่น,0.709999979,13.63000011,7.170000045
2018,1,41,อุดรธานี,0,19.45999908,9.72999954
2018,1,42,เลย,7.800000191,27.63999939,17.71999979
2018,1,43,หนองคาย,7.360000134,20.79999924,14.07999969
