Province,YEAR,MONTH,RiceMali,Long grain glutinous paddy rice,Short grain glutinous paddy rice,Rainfall
ศรีสะเกษ,2018,1,"13,685","9,398","7,688",4.499999881
ศรีสะเกษ,2018,2,"14,542","9,792","8,289",4.839999974
ศรีสะเกษ,2018,3,"15,130","9,599","8,124",83.35000038
ศรีสะเกษ,2018,4,"15,235","9,448","7,875",63.52500153
ศรีสะเกษ,2018,5,"15,538","9,583","8,047",181.4300003
ศรีสะเกษ,2018,6,"15,886","9,651","8,367",186.8700028
ศรีสะเกษ,2018,7,"15,990","8,168","8,233",281.3600006
ศรีสะเกษ,2018,8,"15,963","7,419","8,375",247.9099961
ศรีสะเกษ,2018,9,"15,766","8,257","8,393",279.7949982
ศรีสะเกษ,2018,10,"15,743","9,056","8,364",50.39999962
ศรีสะเกษ,2018,11,"15,825","9,394","8,722",14.46000004
ศรีสะเกษ,2018,12,"15,695","9,407","8,791",2.305000115
ยโสธร,2018,1,"15,963","9,406","7,875",1.230000053
ยโสธร,2018,2,"15,766","9,750","8,047",24.66500068
ยโสธร,2018,3,"15,743","9,840","8,367",67.95999909
ยโสธร,2018,4,"15,825","9,827","8,233",76.53499985
ยโสธร,2018,5,"15,695","9,766","8,375",189.6300049
ยโสธร,2018,6,"15,417","9,669","8,393",204.6399994
ยโสธร,2018,7,"13,913","9,669","8,364",459.7400055
ยโสธร,2018,8,"15,692","9,989","8,722",241.7099991
ยโสธร,2018,9,"15,646","10,187","8,791",242.25
ยโสธร,2018,10,"15,725","9,649","7,688",40.46500111
ยโสธร,2018,11,"15,770","14,732","8,289",7.270000069
ยโสธร,2018,12,"15,695","10,776","8,124",8.0549998
ร้อยเอ็ด,2018,1,"13,685","10,829","7,875",1.900000028
ร้อยเอ็ด,2018,2,"14,542","9,792","8,047",20.02500053
ร้อยเอ็ด,2018,3,"15,130","9,599","8,367",51.13500023
ร้อยเอ็ด,2018,4,"15,235","9,448","8,233",87.79000094
ร้อยเอ็ด,2018,5,"15,538","9,583","8,375",215.8050003
ร้อยเอ็ด,2018,6,"15,886","9,651","8,367",171.1549988
ร้อยเอ็ด,2018,7,"15,990","9,586","8,233",350.8700104
ร้อยเอ็ด,2018,8,"15,963","9,595","8,375",189.8799973
ร้อยเอ็ด,2018,9,"15,766","9,720","8,393",184.6300049
ร้อยเอ็ด,2018,10,"15,743","9,526","8,364",24.45499992
ร้อยเอ็ด,2018,11,"15,825","9,748","8,722",8.719999789
ร้อยเอ็ด,2018,12,"15,695","10,138","8,791",4.675000131
สุรินทร์,2018,1,"13,685","9,398","7,688",9.13500023
สุรินทร์,2018,2,"14,542","9,792","8,289",2.100000043
สุรินทร์,2018,3,"15,130","9,599","8,124",44.38500214
สุรินทร์,2018,4,"15,235","9,448","7,875",68.06500054
สุรินทร์,2018,5,"15,538","9,583","8,047",197.7250061
สุรินทร์,2018,6,"15,886","9,651","8,367",115.8550014
สุรินทร์,2018,7,"15,990","9,586","8,233",192.6550026
สุรินทร์,2018,8,"15,963","9,595","8,375",169.2299958
สุรินทร์,2018,9,"15,766","9,720","8,393",228.7450028
สุรินทร์,2018,10,"15,743","9,526","8,364",27.82200069
สุรินทร์,2018,11,"15,825","9,748","8,722",21.96500016
สุรินทร์,2018,12,"15,695","10,138","8,791",3.647274933
ศรีสะเกษ,2019,1,"15,417","9,649","8,272",4.322266085
ศรีสะเกษ,2019,2,"13,913","14,732","14,031",3.388374886
ศรีสะเกษ,2019,3,"15,692","10,776","9,367",11.91500032
ศรีสะเกษ,2019,4,"15,646","10,829","9,486",83.90000151
ศรีสะเกษ,2019,5,"15,725","11,414","10,339",212.9449997
ศรีสะเกษ,2019,6,"15,770","12,044","10,916",92.09000017
ศรีสะเกษ,2019,7,"15,508","12,217","11,256",214.7450028
ศรีสะเกษ,2019,8,"15,981","13,952","13,055",300.7800064
ศรีสะเกษ,2019,9,"16,265","16,736","14,603",418.6999817
ศรีสะเกษ,2019,10,"16,017","15,278","13,716",35.99000073
ศรีสะเกษ,2019,11,"14,509","13,766","13,408",6.289999962
ศรีสะเกษ,2019,12,"13,529","13,623","12,890",6.289999962
ยโสธร,2019,1,"15,770","9,649","8,272",4.516684065
ยโสธร,2019,2,"15,508","14,732","14,031",26.33499998
ยโสธร,2019,3,"15,981","10,776","9,367",21.9799993
ยโสธร,2019,4,"16,265","10,829","9,486",71.90999792
ยโสธร,2019,5,"16,017","11,414","10,339",192.3349991
ยโสธร,2019,6,"14,509","12,044","10,916",73.71999739
ยโสธร,2019,7,"13,529","8,168","11,256",187.9950028
ยโสธร,2019,8,"13,756","7,419","13,055",486.4000016
ยโสธร,2019,9,"13,913","8,257","14,603",339.609993
ยโสธร,2019,10,"13,949","9,056","13,716",26.70499993
ยโสธร,2019,11,"14,471","9,394","13,408",4.255000055
ยโสธร,2019,12,"13,529","9,407","12,890",4.255000055
ร้อยเอ็ด,2019,1,"15,417","9,406","8,272",41.9049983
ร้อยเอ็ด,2019,2,"13,913","9,750","14,031",18.77000034
ร้อยเอ็ด,2019,3,"15,692","9,840","9,367",36.31499863
ร้อยเอ็ด,2019,4,"15,646","9,827","9,486",80.26000212
ร้อยเอ็ด,2019,5,"15,725","9,766","10,339",169.1399994
ร้อยเอ็ด,2019,6,"15,770","9,669","10,916",62.71500015
ร้อยเอ็ด,2019,7,"15,508","9,669","11,256",161.1350022
ร้อยเอ็ด,2019,8,"15,981","9,989","13,055",564.4200135
ร้อยเอ็ด,2019,9,"16,265","10,187","14,603",327.6800079
ร้อยเอ็ด,2019,10,"16,017","15,278","13,716",38.49000073
ร้อยเอ็ด,2019,11,"14,509","13,766","13,408",2.757499895
ร้อยเอ็ด,2019,12,"13,529","13,623","12,890",2.484999895
สุรินทร์,2019,1,"15,417","9,649","8,272",4.225057095
สุรินทร์,2019,2,"13,913","14,732","14,031",8.264999835
สุรินทร์,2019,3,"15,692","10,776","9,367",21.72500039
สุรินทร์,2019,4,"15,646","10,829","9,486",98.72000121
สุรินทร์,2019,5,"15,725","11,414","10,339",212.1950073
สุรินทร์,2019,6,"15,770","12,044","10,916",97.56999778
สุรินทร์,2019,7,"15,508","12,217","11,256",178.8450012
สุรินทร์,2019,8,"15,981","13,952","11,376",317.090004
สุรินทร์,2019,9,"16,265","16,736","11,398",294.2299958
สุรินทร์,2019,10,"16,017","15,278","11,487",50.31499958
สุรินทร์,2019,11,"14,509","13,766","11,235",3.194999934
สุรินทร์,2019,12,"13,529","13,623","10,758",3.194999934
ศรีสะเกษ,2020,1,"15,770","14,219","10,836",2.294999957
ศรีสะเกษ,2020,2,"15,508","14,732","11,101",3.388374886
ศรีสะเกษ,2020,3,"15,981","14,812","10,883",13.95499986
ศรีสะเกษ,2020,4,"16,265","15,268","10,779",57.98500061
ศรีสะเกษ,2020,5,"16,017","15,621","11,096",131.8599968
ศรีสะเกษ,2020,6,"14,509","15,500","11,342",152.6950035
ศรีสะเกษ,2020,7,"13,529","15,476","11,299",200.4300003
ศรีสะเกษ,2020,8,"13,756","15,227","11,376",244.8799973
ศรีสะเกษ,2020,9,"13,913","13,742","11,398",357.7449952
ศรีสะเกษ,2020,10,"13,949","11,123","10,043",238.3950043
ศรีสะเกษ,2020,11,"14,471","9,757","9,336",1.635000039
ศรีสะเกษ,2020,12,"11,185","10,119","9,485",0.6154
ยโสธร,2020,1,"15,770","14,219","13,637",4.934999883
ยโสธร,2020,2,"15,508","14,732","14,031",26.33499998
ยโสธร,2020,3,"15,981","14,812","13,677",35.16000164
ยโสธร,2020,4,"16,265","15,268","13,915",61.27500153
ยโสธร,2020,5,"16,017","15,621","14,046",118.2900009
ยโสธร,2020,6,"14,509","15,500","14,274",110.9449997
ยโสธร,2020,7,"13,529","15,476","14,329",193.4149933
ยโสธร,2020,8,"13,756","15,227","13,966",276.6850128
ยโสธร,2020,9,"13,913","13,742","11,830",265.4199982
ยโสธร,2020,10,"13,949","11,123","10,043",228.5800019
ยโสธร,2020,11,"14,471","9,757","9,336",1.630000055
ยโสธร,2020,12,"11,185","10,119","9,485",1.21502
ร้อยเอ็ด,2020,1,"13,756","14,219","13,637",7.034999845
ร้อยเอ็ด,2020,2,"13,913","14,732","14,031",18.77000034
ร้อยเอ็ด,2020,3,"13,949","14,812","13,677",45.48500062
ร้อยเอ็ด,2020,4,"14,471","15,268","13,915",78.43999861
ร้อยเอ็ด,2020,5,"15,770","15,621","14,046",102.1599999
ร้อยเอ็ด,2020,6,"15,508","15,500","14,274",114.4899978
ร้อยเอ็ด,2020,7,"15,981","15,476","14,329",158.5699997
ร้อยเอ็ด,2020,8,"16,265","15,227","13,966",274.3000031
ร้อยเอ็ด,2020,9,"16,017","13,742","11,830",252.949997
ร้อยเอ็ด,2020,10,"14,509","11,123","10,043",206.5
ร้อยเอ็ด,2020,11,"13,529","9,757","11,376",3.030000031
ร้อยเอ็ด,2020,12,"13,756","10,119","11,398",2.755754895
สุรินทร์,2020,1,"13,913","14,219","11,487",8.264999835
สุรินทร์,2020,2,"13,949","14,732","11,235",18.66000056
สุรินทร์,2020,3,"14,471","14,812","10,758",64.0150013
สุรินทร์,2020,4,"14,471","15,268","10,836",84.17499922
สุรินทร์,2020,5,"14,871","15,621","11,101",162.840004
สุรินทร์,2020,6,"14,868","15,500","10,883",173.7249985
สุรินทร์,2020,7,"14,630","15,476","10,779",206.3449936
สุรินทร์,2020,8,"14,409","15,227","11,096",322.6149979
สุรินทร์,2020,9,"13,237","13,742","11,342",215.5300065
สุรินทร์,2020,10,"11,715","11,123","11,299",7.395000042
สุรินทร์,2020,11,"10,403","9,757","11,376",3.0305
สุรินทร์,2020,12,"11,185","10,119","11,398",2.294999957
ศรีสะเกษ,2021,1,"11,812","10,591","9,612",2.294999957
ศรีสะเกษ,2021,2,"11,862","10,751","9,620",14.36999989
ศรีสะเกษ,2021,3,"11,823","10,645","9,689",19.73314916
ศรีสะเกษ,2021,4,"11,835","10,722","9,332",65.88499832
ศรีสะเกษ,2021,5,"11,432","10,289","8,791",166.0550003
ศรีสะเกษ,2021,6,"10,797","10,072","8,164",191.090004
ศรีสะเกษ,2021,7,"10,320","9,493","7,896",241.2549973
ศรีสะเกษ,2021,8,"9,902","8,993","7,262",196.0699921
ศรีสะเกษ,2021,9,"9,810","8,168","7,047",409
ศรีสะเกษ,2021,10,"9,723","7,419","6,444",205.3649979
